,year,title,n_steps,start_length,end_length,compression
470_2002,2002,47,3303,1584712.0118314605,1326412.2568725725,0.8370052394186313
470_2003,2003,47,3301,1584595.5647937686,1326238.6663980563,0.8369571995934895
470_2004,2004,47,3469,1676435.296130264,1398350.0267861388,0.834121084192135
470_2005,2005,47,3448,1674791.231115185,1397438.8047347923,0.8343958212656073
470_2006,2006,47,3478,1694271.5651441063,1412724.370412445,0.8338240453750906
470_2007,2007,47,3477,1694990.9942178011,1413359.6484104719,0.8338449308768773
470_2008,2008,47,3546,1736151.508072504,1445787.5790571691,0.8327542684695183
470_2009,2009,47,3547,1752554.1383376678,1459187.2241545292,0.8326060760317493
470_2010,2010,47,3730,1808605.744578505,1502035.6752564362,0.8304936992260219
470_2011,2011,47,3730,1808605.744578505,1502035.6752564362,0.8304936992260219
470_2012,2012,47,4036,1966117.5812689373,1621169.4151011012,0.8245536434574754
470_2013,2013,47,3972,1943410.9350794093,1606166.7048149004,0.8264678745101696
470_2014,2014,47,3991,1950559.509965767,1611311.162550103,0.8260763920903813
470_2015,2015,47,4005,1955868.376165172,1615232.075417979,0.8258388422767634
470_2016,2016,47,3896,1903353.1976961668,1573675.6808613224,0.8267912034225237
470_2017,2017,47,3889,1905548.6703005878,1574961.5534270033,0.8265134226031411
470_2018,2018,47,3993,1948408.9563651453,1606490.0696754376,0.8245137985161111
470_2019,2019,47,4094,1983729.0440644303,1632846.3372923955,0.8231196403450761
480_1994,1994,48,1740,593728.1161709296,493495.7833886962,0.8311814279090375
480_1995,1995,48,1742,593484.2943238105,493263.0819000802,0.8311308093874366
480_1996,1996,48,1751,599169.5440595825,498039.099764518,0.8312156462261574
480_1997,1997,48,1745,599884.3303852713,498739.4863260519,0.8313927553429177
480_1998,1998,48,1739,599705.8222669852,498873.9088453461,0.8318643747021195
480_1999,1999,48,1746,598882.1790816056,497919.36305744934,0.8314145594063523
480_2000,2000,48,1743,598889.6921760114,498012.5433949041,0.8315597177594103
480_2001,2001,48,1743,598889.6921760114,498012.5433949041,0.8315597177594103
480_2002,2002,48,1744,600466.3373101997,499342.0034876475,0.8315903364782435
480_2003,2003,48,2197,739523.7928091023,595632.5902243998,0.8054272168335144
480_2004,2004,48,2216,742895.8475610329,598578.9921655228,0.8057374316072567
480_2005,2005,48,2240,753515.2954331341,607827.5150742228,0.8066558419691171
